uid,area,outages,customers,percent_out,dt_stamp
Allegany2024-09-04T22:15:34,Allegany,0,37206,0.000,09/04/2024 10:15:34 PM
Anne_Arundel2024-09-04T22:15:34,Anne Arundel,7,260730,0.003,09/04/2024 10:15:34 PM
Baltimore2024-09-04T22:15:34,Baltimore,4,373210,0.001,09/04/2024 10:15:34 PM
Baltimore_City2024-09-04T22:15:34,Baltimore City,7,280614,0.002,09/04/2024 10:15:34 PM
Calvert2024-09-04T22:15:34,Calvert,0,41875,0.000,09/04/2024 10:15:34 PM
Caroline2024-09-04T22:15:34,Caroline,4,16253,0.025,09/04/2024 10:15:34 PM
Carroll2024-09-04T22:15:34,Carroll,0,76141,0.000,09/04/2024 10:15:34 PM
Cecil2024-09-04T22:15:34,Cecil,0,50187,0.000,09/04/2024 10:15:34 PM
Charles2024-09-04T22:15:34,Charles,0,72244,0.000,09/04/2024 10:15:34 PM
Dorchester2024-09-04T22:15:34,Dorchester,0,19928,0.000,09/04/2024 10:15:34 PM
Frederick2024-09-04T22:15:34,Frederick,1,116871,0.001,09/04/2024 10:15:34 PM
Garrett2024-09-04T22:15:34,Garrett,1,20396,0.005,09/04/2024 10:15:34 PM
Harford2024-09-04T22:15:34,Harford,4,114370,0.003,09/04/2024 10:15:34 PM
Howard2024-09-04T22:15:34,Howard,8,138199,0.006,09/04/2024 10:15:34 PM
Kent2024-09-04T22:15:34,Kent,0,12334,0.000,09/04/2024 10:15:34 PM
Montgomery2024-09-04T22:15:34,Montgomery,1,381563,0.000,09/04/2024 10:15:34 PM
Prince_George's2024-09-04T22:15:34,Prince George's,0,351010,0.000,09/04/2024 10:15:34 PM
Queen_Anne's2024-09-04T22:15:34,Queen Anne's,0,27627,0.000,09/04/2024 10:15:34 PM
Somerset2024-09-04T22:15:34,Somerset,0,11332,0.000,09/04/2024 10:15:34 PM
St._Mary's2024-09-04T22:15:34,St. Mary's,0,56237,0.000,09/04/2024 10:15:34 PM
Talbot2024-09-04T22:15:34,Talbot,0,23706,0.000,09/04/2024 10:15:34 PM
Washington2024-09-04T22:15:34,Washington,0,54026,0.000,09/04/2024 10:15:34 PM
Wicomico2024-09-04T22:15:34,Wicomico,0,50245,0.000,09/04/2024 10:15:34 PM
Worcester2024-09-04T22:15:34,Worcester,0,59063,0.000,09/04/2024 10:15:34 PM
Allegany2024-09-04T22:30:39,Allegany,0,37206,0.000,09/04/2024 10:30:39 PM
Anne_Arundel2024-09-04T22:30:39,Anne Arundel,7,260730,0.003,09/04/2024 10:30:39 PM
Baltimore2024-09-04T22:30:39,Baltimore,4,373210,0.001,09/04/2024 10:30:39 PM
Baltimore_City2024-09-04T22:30:39,Baltimore City,7,280614,0.002,09/04/2024 10:30:39 PM
Calvert2024-09-04T22:30:39,Calvert,0,41875,0.000,09/04/2024 10:30:39 PM
Caroline2024-09-04T22:30:39,Caroline,4,16253,0.025,09/04/2024 10:30:39 PM
Carroll2024-09-04T22:30:39,Carroll,0,76141,0.000,09/04/2024 10:30:39 PM
Cecil2024-09-04T22:30:39,Cecil,0,50187,0.000,09/04/2024 10:30:39 PM
Charles2024-09-04T22:30:39,Charles,0,72244,0.000,09/04/2024 10:30:39 PM
Dorchester2024-09-04T22:30:39,Dorchester,0,19928,0.000,09/04/2024 10:30:39 PM
Frederick2024-09-04T22:30:39,Frederick,1,116871,0.001,09/04/2024 10:30:39 PM
Garrett2024-09-04T22:30:39,Garrett,1,20396,0.005,09/04/2024 10:30:39 PM
Harford2024-09-04T22:30:39,Harford,4,114370,0.003,09/04/2024 10:30:39 PM
Howard2024-09-04T22:30:39,Howard,8,138199,0.006,09/04/2024 10:30:39 PM
Kent2024-09-04T22:30:39,Kent,0,12334,0.000,09/04/2024 10:30:39 PM
Montgomery2024-09-04T22:30:39,Montgomery,1,381563,0.000,09/04/2024 10:30:39 PM
Prince_George's2024-09-04T22:30:39,Prince George's,0,351010,0.000,09/04/2024 10:30:39 PM
Queen_Anne's2024-09-04T22:30:39,Queen Anne's,0,27627,0.000,09/04/2024 10:30:39 PM
Somerset2024-09-04T22:30:39,Somerset,0,11332,0.000,09/04/2024 10:30:39 PM
St._Mary's2024-09-04T22:30:39,St. Mary's,0,56237,0.000,09/04/2024 10:30:39 PM
Talbot2024-09-04T22:30:39,Talbot,0,23706,0.000,09/04/2024 10:30:39 PM
Washington2024-09-04T22:30:39,Washington,0,54026,0.000,09/04/2024 10:30:39 PM
Wicomico2024-09-04T22:30:39,Wicomico,0,50245,0.000,09/04/2024 10:30:39 PM
Worcester2024-09-04T22:30:39,Worcester,0,59063,0.000,09/04/2024 10:30:39 PM
Allegany2024-09-04T22:45:37,Allegany,0,37206,0.000,09/04/2024 10:45:37 PM
Anne_Arundel2024-09-04T22:45:37,Anne Arundel,7,260730,0.003,09/04/2024 10:45:37 PM
Baltimore2024-09-04T22:45:37,Baltimore,4,373210,0.001,09/04/2024 10:45:37 PM
Baltimore_City2024-09-04T22:45:37,Baltimore City,247,280614,0.088,09/04/2024 10:45:37 PM
Calvert2024-09-04T22:45:37,Calvert,0,41875,0.000,09/04/2024 10:45:37 PM
Caroline2024-09-04T22:45:37,Caroline,0,16253,0.000,09/04/2024 10:45:37 PM
Carroll2024-09-04T22:45:37,Carroll,0,76141,0.000,09/04/2024 10:45:37 PM
Cecil2024-09-04T22:45:37,Cecil,0,50187,0.000,09/04/2024 10:45:37 PM
Charles2024-09-04T22:45:37,Charles,0,72244,0.000,09/04/2024 10:45:37 PM
Dorchester2024-09-04T22:45:37,Dorchester,0,19928,0.000,09/04/2024 10:45:37 PM
Frederick2024-09-04T22:45:37,Frederick,1,116871,0.001,09/04/2024 10:45:37 PM
Garrett2024-09-04T22:45:37,Garrett,1,20396,0.005,09/04/2024 10:45:37 PM
Harford2024-09-04T22:45:37,Harford,0,114370,0.000,09/04/2024 10:45:37 PM
Howard2024-09-04T22:45:37,Howard,8,138199,0.006,09/04/2024 10:45:37 PM
Kent2024-09-04T22:45:37,Kent,0,12334,0.000,09/04/2024 10:45:37 PM
Montgomery2024-09-04T22:45:37,Montgomery,1,381563,0.000,09/04/2024 10:45:37 PM
Prince_George's2024-09-04T22:45:37,Prince George's,0,351010,0.000,09/04/2024 10:45:37 PM
Queen_Anne's2024-09-04T22:45:37,Queen Anne's,0,27627,0.000,09/04/2024 10:45:37 PM
Somerset2024-09-04T22:45:37,Somerset,0,11332,0.000,09/04/2024 10:45:37 PM
St._Mary's2024-09-04T22:45:37,St. Mary's,0,56237,0.000,09/04/2024 10:45:37 PM
Talbot2024-09-04T22:45:37,Talbot,0,23706,0.000,09/04/2024 10:45:37 PM
Washington2024-09-04T22:45:37,Washington,0,54026,0.000,09/04/2024 10:45:37 PM
Wicomico2024-09-04T22:45:37,Wicomico,0,50245,0.000,09/04/2024 10:45:37 PM
Worcester2024-09-04T22:45:37,Worcester,0,59063,0.000,09/04/2024 10:45:37 PM
Allegany2024-09-04T23:00:34,Allegany,0,37206,0.000,09/04/2024 11:00:34 PM
Anne_Arundel2024-09-04T23:00:34,Anne Arundel,10,260710,0.004,09/04/2024 11:00:34 PM
Baltimore2024-09-04T23:00:34,Baltimore,4,373184,0.001,09/04/2024 11:00:34 PM
Baltimore_City2024-09-04T23:00:34,Baltimore City,245,280617,0.087,09/04/2024 11:00:34 PM
Calvert2024-09-04T23:00:34,Calvert,0,41874,0.000,09/04/2024 11:00:34 PM
Caroline2024-09-04T23:00:34,Caroline,0,16253,0.000,09/04/2024 11:00:34 PM
Carroll2024-09-04T23:00:34,Carroll,0,76136,0.000,09/04/2024 11:00:34 PM
Cecil2024-09-04T23:00:34,Cecil,0,50187,0.000,09/04/2024 11:00:34 PM
Charles2024-09-04T23:00:34,Charles,0,72244,0.000,09/04/2024 11:00:34 PM
Dorchester2024-09-04T23:00:34,Dorchester,0,19928,0.000,09/04/2024 11:00:34 PM
Frederick2024-09-04T23:00:34,Frederick,1,116871,0.001,09/04/2024 11:00:34 PM
Garrett2024-09-04T23:00:34,Garrett,1,20396,0.005,09/04/2024 11:00:34 PM
Harford2024-09-04T23:00:34,Harford,0,114347,0.000,09/04/2024 11:00:34 PM
Howard2024-09-04T23:00:34,Howard,7,138196,0.005,09/04/2024 11:00:34 PM
Kent2024-09-04T23:00:34,Kent,0,12334,0.000,09/04/2024 11:00:34 PM
Montgomery2024-09-04T23:00:34,Montgomery,1,381561,0.000,09/04/2024 11:00:34 PM
Prince_George's2024-09-04T23:00:34,Prince George's,0,350986,0.000,09/04/2024 11:00:34 PM
Queen_Anne's2024-09-04T23:00:34,Queen Anne's,0,27627,0.000,09/04/2024 11:00:34 PM
Somerset2024-09-04T23:00:34,Somerset,0,11332,0.000,09/04/2024 11:00:34 PM
St._Mary's2024-09-04T23:00:34,St. Mary's,0,56237,0.000,09/04/2024 11:00:34 PM
Talbot2024-09-04T23:00:34,Talbot,0,23706,0.000,09/04/2024 11:00:34 PM
Washington2024-09-04T23:00:34,Washington,0,54026,0.000,09/04/2024 11:00:34 PM
Wicomico2024-09-04T23:00:34,Wicomico,0,50245,0.000,09/04/2024 11:00:34 PM
Worcester2024-09-04T23:00:34,Worcester,0,59063,0.000,09/04/2024 11:00:34 PM
Allegany2024-09-04T23:15:35,Allegany,0,37206,0.000,09/04/2024 11:15:35 PM
Anne_Arundel2024-09-04T23:15:35,Anne Arundel,10,260710,0.004,09/04/2024 11:15:35 PM
Baltimore2024-09-04T23:15:35,Baltimore,4,373184,0.001,09/04/2024 11:15:35 PM
Baltimore_City2024-09-04T23:15:35,Baltimore City,88,280617,0.031,09/04/2024 11:15:35 PM
Calvert2024-09-04T23:15:35,Calvert,0,41874,0.000,09/04/2024 11:15:35 PM
Caroline2024-09-04T23:15:35,Caroline,0,16253,0.000,09/04/2024 11:15:35 PM
Carroll2024-09-04T23:15:35,Carroll,0,76136,0.000,09/04/2024 11:15:35 PM
Cecil2024-09-04T23:15:35,Cecil,0,50187,0.000,09/04/2024 11:15:35 PM
Charles2024-09-04T23:15:35,Charles,0,72244,0.000,09/04/2024 11:15:35 PM
Dorchester2024-09-04T23:15:35,Dorchester,0,19928,0.000,09/04/2024 11:15:35 PM
Frederick2024-09-04T23:15:35,Frederick,1,116871,0.001,09/04/2024 11:15:35 PM
